125 & f(0.54999,0.21062) & 0.56485 \\
126 & f(0.45599,0.36849) & 0.61076 \\
127 & f(0.43080,0.09480) & 0.54891 \\
128 & f(0.36464,-0.12416) & 0.55922 \\
129 & f(0.37371,-0.29933) & 0.59508 \\
130 & f(0.33497,-0.03946) & 0.55690 \\
131 & f(0.45197,-0.23157) & 0.56988 \\
132 & f(0.53558,-0.38526) & 0.61634 \\
133 & f(0.55846,-0.10821) & 0.54895 \\
134 & f(0.60277,0.11344) & 0.55288 \\
135 & f(0.67622,-0.10925) & 0.56229 \\
136 & f(0.54497,-0.28740) & 0.58376 \\
137 & f(0.61198,-0.02992) & 0.54783 \\
138 & f(0.53958,-0.22394) & 0.56733 \\
139 & f(0.48167,0.02085) & 0.54215 \\
140 & f(0.56533,0.21668) & 0.56696 \\
141 & f(0.55627,-0.02666) & 0.54333 \\
142 & f(0.54901,0.17868) & 0.55859 \\
143 & f(0.53721,-0.05706) & 0.54381 \\
144 & f(0.60177,-0.24565) & 0.57652 \\
145 & f(0.52341,0.00348) & 0.54184 \\
146 & f(0.50473,0.20279) & 0.56222 \\
147 & f(0.49779,0.36223) & 0.60729 \\
148 & f(0.55623,0.08978) & 0.54701 \\
149 & f(0.57098,-0.12817) & 0.55205 \\
150 & f(0.55479,-0.30254) & 0.58867 \\
151 & f(0.46583,-0.04203) & 0.54331 \\
152 & f(0.56066,0.16637) & 0.55705 \\
153 & f(0.55253,0.33310) & 0.59827 \\
154 & f(0.61402,0.06648) & 0.54982 \\
155 & f(0.55322,0.25318) & 0.57488 \\
156 & f(0.45458,0.40255) & 0.62396 \\
157 & f(0.37166,0.12204) & 0.55800 \\
158 & f(0.49733,-0.10237) & 0.54693 \\
159 & f(0.53986,-0.28190) & 0.58200 \\
160 & f(0.50589,-0.02552) & 0.54199 \\
161 & f(0.47671,-0.22041) & 0.56635 \\
162 & f(0.39937,-0.37633) & 0.61805 \\
163 & f(0.48750,-0.50106) & 0.66735 \\
164 & f(0.54600,-0.20085) & 0.56267 \\
165 & f(0.56680,0.03932) & 0.54434 \\
166 & f(0.55144,-0.16855) & 0.55694 \\
167 & f(0.63715,-0.33484) & 0.60645 \\
168 & f(0.57972,-0.06787) & 0.54676 \\
169 & f(0.48578,0.14570) & 0.55246 \\
170 & f(0.47862,-0.08344) & 0.54549 \\
171 & f(0.54490,-0.26675) & 0.57804 \\
172 & f(0.59192,-0.41340) & 0.63089 \\
173 & f(0.56753,-0.13072) & 0.55216 \\
174 & f(0.52003,-0.30458) & 0.58816 \\
175 & f(0.48402,-0.44366) & 0.64030 \\
176 & f(0.45322,-0.15493) & 0.55500 \\
177 & f(0.39457,-0.32394) & 0.60023 \\
